2.67 0.26 -0.22 0.0169662 0.7704234
2.67 0.26 -0.42 0.0184109 0.7704234
2.67 0.26 -0.62 0.0198692 0.7704234
2.67 0.26 -0.82 0.0215834 0.7704234
2.67 0.26 -1.02 0.0233838 0.7704234
2.67 0.26 -1.22 0.0251191 0.7704234
2.67 0.26 -1.42 0.0266456 0.7704234
2.67 0.26 -1.62 0.0277171 0.7704234
2.67 0.26 -1.82 0.0280929 0.7704234
2.76 0.38 -0.22 0.0056008 0.8882134
2.76 0.38 -0.42 0.0139265 0.8882134
2.76 0.38 -0.62 0.0155619 0.8882134
2.76 0.38 -0.82 0.0164393 0.8882134
2.76 0.38 -1.02 0.0169996 0.8882134
2.76 0.38 -1.22 0.0173267 0.8882134
2.76 0.38 -1.42 0.0174131 0.8882134
2.76 0.38 -1.62 0.0172835 0.8882134
2.76 0.38 -1.82 0.0169338 0.8882134
4.27 0.38 -0.22 0.0124146 0.6974134
4.27 0.38 -0.42 0.0253301 0.6974134
4.27 0.38 -0.62 0.0280345 0.6974134
4.27 0.38 -0.82 0.0298534 0.6974134
4.27 0.38 -1.02 0.0314477 0.6974134
4.27 0.38 -1.22 0.0327670 0.6974134
4.27 0.38 -1.42 0.0338012 0.6974134
4.27 0.38 -1.62 0.0344880 0.6974134
4.27 0.38 -1.82 0.0347478 0.6974134
4.15 0.52 -0.62 0.0126259 0.8535467
4.15 0.52 -0.82 0.0158387 0.8535467
4.15 0.52 -1.02 0.0169837 0.8535467
4.15 0.52 -1.22 0.0174034 0.8535467
4.15 0.52 -1.42 0.0174432 0.8535467
4.15 0.52 -1.62 0.0172103 0.8535467
4.15 0.52 -1.82 0.0167851 0.8535467
6.70 0.57 -0.82 0.0204016 0.6552340
6.70 0.57 -1.02 0.0248106 0.6552340
6.70 0.57 -1.22 0.0264578 0.6552340
6.70 0.57 -1.42 0.0270299 0.6552340
6.70 0.57 -1.62 0.0270409 0.6552340
6.70 0.57 -1.82 0.0266597 0.6552340
