4.15 0.51 -0.49 0.8506784 0.1826456 70.3877510 -1.0284694 0.0000000 0.0059230	0.5393053
4.15 0.51 -0.59 0.8506784 0.2054692 63.2947622 -4.3565306 0.0000000 0.0123585	0.9530006
4.15 0.51 -0.69 0.8506784 0.2029048 55.0893668 -5.6797200 0.0000000 0.0147556	0.9314318
4.15 0.51 -0.79 0.8506784 0.1879226 47.0028430 -5.9164533 0.0000000 0.0160409	0.8118809
4.15 0.51 -0.89 0.8506784 0.1675338 39.5784642 -5.5933870 0.0000000 0.0168211	0.6724019
4.15 0.51 -0.99 0.8506784 0.1456684 33.0052436 -5.0236333 0.0000000 0.0173198	0.5402526
4.15 0.51 -1.09 0.8506784 0.1243857 27.3788331 -4.3716005 0.0000000 0.0176237	0.4263567
4.15 0.51 -1.19 0.8506784 0.1049262 22.6050606 -3.7170476 -0.0000000 0.0178111	0.3315045
4.15 0.51 -1.29 0.8506784 0.0876470 18.6159122 -3.1186072 -0.0000000 0.0178981	0.2549329
4.15 0.51 -1.39 0.8506784 0.0728381 15.3171057 -2.5917407 -0.0000000 0.0178976	0.1943590
4.15 0.51 -1.49 0.8506784 0.0601631 12.5912948 -2.1376638 -0.0000000 0.0178380	0.1470136
4.15 0.51 -1.59 0.8506784 0.0494748 10.3467972 -1.7543369 -0.0000000 0.0177169	0.1101692
4.15 0.51 -1.69 0.8506784 0.0405708 8.5169464 -1.4342185 -0.0000000 0.0175347	0.0821903
4.15 0.51 -1.79 0.8506784 0.0331961 7.0001851 -1.1697240 -0.0000000 0.0173196	0.0604780
4.15 0.51 -1.89 0.8506784 0.0271347 5.7638447 -0.9519679 -0.0000000 0.0170652	0.0442075
4.15 0.51 -1.99 0.8506784 0.0221314 4.7526625 -0.7741648 -0.0000000 0.0167701	0.0320251
