3.03 0.39 -0.24 0.8704090 1.5047895 156.3831397 -4.4301744 0.0000000 0.0069906	1.5395122
3.03 0.39 -0.34 0.8704090 1.4175379 150.0381353 -17.9155864 0.0000000 0.0134684	2.6169824
3.03 0.39 -0.44 0.8704090 1.2691424 133.5166043 -22.3434732 0.0000000 0.0154847	2.4572976
3.03 0.39 -0.54 0.8704090 1.1001299 113.9559619 -22.2866979 0.0000000 0.0165605	2.0506310
3.03 0.39 -0.64 0.8704090 0.9343787 94.9337443 -20.2045363 0.0000000 0.0172797	1.6219945
3.03 0.39 -0.74 0.8704090 0.7819035 77.7749762 -17.4095607 0.0000000 0.0178155	1.2404695
3.03 0.39 -0.84 0.8704090 0.6466447 63.0864418 -14.5425669 0.0000000 0.0182445	0.9252060
3.03 0.39 -0.94 0.8704090 0.5311487 50.8420106 -11.9077996 0.0000000 0.0185937	0.6779393
3.03 0.39 -1.04 0.8704090 0.4332962 40.8288948 -9.6302094 0.0000000 0.0188610	0.4871613
3.03 0.39 -1.14 0.8704090 0.3524788 32.6681510 -7.6991381 0.0000000 0.0190707	0.3423617
3.03 0.39 -1.24 0.8704090 0.2853504 26.1326315 -6.1225442 0.0000000 0.0192146	0.2357692
3.03 0.39 -1.34 0.8704090 0.2306757 20.9011048 -4.8479631 0.0000000 0.0192942	0.1579121
3.03 0.39 -1.44 0.8704090 0.1861897 16.7239477 -3.8264490 0.0000000 0.0193125	0.1016975
3.03 0.39 -1.54 0.8704090 0.1500145 13.3948704 -3.0155796 0.0000000 0.0192718	0.0617842
3.03 0.39 -1.64 0.8704090 0.1207254 10.7477419 -2.3732058 0.0000000 0.0191799	0.0341868
3.03 0.39 -1.74 0.8704090 0.0970973 8.6404540 -1.8673486 0.0000000 0.0190182	0.0152435
3.03 0.39 -1.84 0.8704090 0.0781469 6.9588001 -1.4689946 0.0000000 0.0188034	0.0027137
3.03 0.39 -1.94 0.8704090 0.0628861 5.6188900 -1.1560247 0.0000000 0.0185375	-0.0051919
