2.60 0.29 -0.12 0.8277373 4.1865968 118.3760871 -7.0635139 0.0000000 0.0095917	1.7505063
2.60 0.29 -0.22 0.8277373 3.5912526 131.2402950 -27.3293393 0.0000000 0.0157940	2.8604047
2.60 0.29 -0.32 0.8277373 3.0123973 121.9362743 -32.6047114 0.0000000 0.0171123	2.5779753
2.60 0.29 -0.42 0.8277373 2.4887136 104.2853914 -31.1150858 0.0000000 0.0179014	2.0465387
2.60 0.29 -0.52 0.8277373 2.0341932 85.5227383 -27.0054595 0.0000000 0.0186044	1.5381522
2.60 0.29 -0.62 0.8277373 1.6470500 68.2180669 -22.2698894 0.0000000 0.0192773	1.1017216
2.60 0.29 -0.72 0.8277373 1.3272801 53.5540100 -17.8169971 0.0000000 0.0199844	0.7674304
2.60 0.29 -0.82 0.8277373 1.0643984 41.5488085 -13.9410096 0.0000000 0.0207001	0.5130015
2.60 0.29 -0.92 0.8277373 0.8506779 32.0161945 -10.7723985 0.0000000 0.0213948	0.3277466
2.60 0.29 -1.02 0.8277373 0.6785443 24.5728966 -8.2474543 0.0000000 0.0220529	0.1969683
2.60 0.29 -1.12 0.8277373 0.5405155 18.8150910 -6.2700652 0.0000000 0.0226800	0.1063292
2.60 0.29 -1.22 0.8277373 0.4299122 14.3893578 -4.7406904 0.0000000 0.0232572	0.0451964
2.60 0.29 -1.32 0.8277373 0.3417365 11.0185421 -3.5763863 0.0000000 0.0237552	0.0060540
2.60 0.29 -1.42 0.8277373 0.2716642 8.4362359 -2.6876442 0.0000000 0.0241889	-0.0186946
2.60 0.29 -1.52 0.8277373 0.2159393 6.4842360 -2.0222371 0.0000000 0.0244879	-0.0327810
2.60 0.29 -1.62 0.8277373 0.1715783 4.9980868 -1.5185573 0.0000000 0.0247303	-0.0389408
2.60 0.29 -1.72 0.8277373 0.1364224 3.8651387 -1.1401101 0.0000000 0.0247873	-0.0421969
2.60 0.29 -1.82 0.8277373 0.1084999 3.0033644 -0.8566304 0.0000000 0.0247302	-0.0416441
2.60 0.29 -1.92 0.8277373 0.0863654 2.3457377 -0.6444299 0.0000000 0.0245210	-0.0392562
