(0, 0, 0.30573724772314453, 8.199497816909623e-06)
(1, 0, 0.479385929816549, 0.0018387536611305239)
(0, 1, 0.6257925437337145, 0.0005721234784762871)
(1, 1, 0.8294418466110812, 0.008708070798012044)
(0, 2, 1.310003078547457, 0.004174065572445762)
(1, 2, 1.4457873752527504, 0.0019354705087287552)
(0, 0, 0.31525336753315236, 0.004502936670562899)
(1, 0, 0.4710568453758556, 0.011784045181995658)
(0, 1, 0.6185790277386062, 0.004019124510940823)
(1, 1, 0.7546703115793073, 0.0038585120396990857)
(0, 2, 1.2550599967548466, 0.00852516339368159)
(1, 2, 1.2882279543489248, 0.004412522730035097)
(0, 0, 0.3368578916633197, 0.015056367858392393)
(1, 0, 0.48315495244816953, 0.002003639923386119)
(0, 1, 0.6535932409387776, 0.019506503381834676)
(1, 1, 0.80491131871782, 0.005975778974123672)
(0, 2, 1.3310300838037672, 0.0058460389230008125)
(1, 2, 1.414388251055934, 0.006703813885703833)
(0, 0, 0.4801299944046131, 0.0067551109004853165)
(1, 0, 0.5522772764422181, 0.006844055000101584)
(0, 1, 0.7841440610961957, 0.0026882886771041753)
(1, 1, 0.8787031840926347, 0.00652262072300374)
(0, 2, 1.3610483173222685, 0.0001708828086590536)
(1, 2, 1.447416357065352, 0.0032258581844607087)
(0, 0, 0.6159320538479813, 0.0018548113168535135)
(1, 0, 0.7308944003026252, 0.01303903119259378)
(0, 1, 1.0291749636503105, 0.004005630421887479)
(1, 1, 1.1431737301652793, 0.006637454651897592)
(0, 2, 1.5871828363751728, 0.007903818371691948)
(1, 2, 1.6529274758358565, 0.01778949642677652)
